tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
30,pct,0.1,1.0,3,0.5,tick,none,v201,pivot+don20,54,33,21,0.7592592592592593,2253.1095699999714,0.0,2253.1095699999714,0.0,3.163777122702825,0.5185185185185115,160.74947999999858,0.4444444444444444,0.7592592592592593,0.24074074074074073,0.0,0.0,0.7777777777777778,41.72425129629577
30,pct,0.1,1.0,3,0.5,tick,none,latch,pivot,68,42,26,0.8088235294117647,3343.3952400000126,0.0,3343.3952400000126,0.0,4.2279740253633875,0.6176470588235318,160.74947999999858,0.3235294117647059,0.8088235294117647,0.19117647058823528,0.0,0.0,0.7058823529411765,49.16757705882372
30,pct,0.1,1.0,3,0.5,tick,none,latch,pivot+don20,101,59,42,0.7920792079207921,4703.441229999997,0.0,4703.441229999997,0.0,3.7793232982051723,0.5841584158415839,160.74947999999858,0.27722772277227725,0.7920792079207921,0.2079207920792079,0.0,0.0,0.7524752475247525,46.56872504950492
30,pct,0.1,1.0,3,0.5,tick,exchange,v201,pivot,38,26,12,0.0,1782.8035499999678,3118.8994781150004,-1336.0959281150322,1.0298569164707083,0.0,-0.44447323694708796,1336.095928115028,0.6052631578947368,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7105263157894737,-35.1604191609219
30,pct,0.1,1.0,3,0.5,tick,exchange,v201,pivot+don20,54,33,21,0.018518518518518517,2277.1175699999585,4470.109279215,-2192.9917092150413,1.0300520997558504,1.7566150903615112e-05,-0.5070114274671844,2192.9917092150426,0.4444444444444444,0.7592592592592593,0.24074074074074073,0.0,0.0,0.7777777777777778,-40.61095757805632
30,pct,0.1,1.0,3,0.5,tick,exchange,latch,pivot,68,42,26,0.014705882352941176,3383.4112400000013,5577.347800490001,-2193.936560489999,1.029234463080193,1.7413550330950198e-05,-0.4050255466427687,2193.936560489994,0.3235294117647059,0.8088235294117647,0.19117647058823528,0.0,0.0,0.7058823529411765,-32.26377294838234
30,pct,0.1,1.0,3,0.5,tick,exchange,latch,pivot+don20,101,59,42,0.039603960396039604,4753.451229999962,8332.505576675001,-3579.054346675038,1.0289516238510956,4.405702942561336e-05,-0.4398704625614277,3579.0543466750387,0.27722772277227725,0.7920792079207921,0.2079207920792079,0.0,0.0,0.7524752475247525,-35.436181650247896
30,pct,0.1,1.0,3,0.5,tick,cfd_std,v201,pivot,38,26,12,0.7368421052631579,1575.7998599999846,648.0,927.7998599999846,0.21641819208651103,1.9475065077765286,0.30507853586095895,236.0640899999853,0.3157894736842105,0.7368421052631579,0.2631578947368421,0.0,0.0,0.7105263157894737,24.41578578947328
30,pct,0.1,1.0,3,0.5,tick,cfd_std,v201,pivot+don20,54,33,21,0.7222222222222222,2081.602379999982,931.5,1150.102379999982,0.21577956909902163,1.7553286814394837,0.2647137703184267,195.89352999998664,0.24074074074074073,0.7222222222222222,0.2777777777777778,0.0,0.0,0.7777777777777778,21.29819222222189
30,pct,0.1,1.0,3,0.5,tick,cfd_std,latch,pivot,68,42,26,0.7647058823529411,3125.2956899999845,1134.0,1991.2956899999845,0.21120514476958785,2.2814447105733837,0.3679267985809009,208.8521100000071,0.3382352941176471,0.7647058823529411,0.23529411764705882,0.0,0.0,0.7058823529411765,29.283760147058594
30,pct,0.1,1.0,3,0.5,tick,cfd_std,latch,pivot+don20,101,59,42,0.7623762376237624,4552.80117999998,1687.5,2865.3011799999804,0.20877662745766962,2.1874434715619255,0.35690558479764584,326.1716000000015,0.2871287128712871,0.7623762376237624,0.2376237623762376,0.0,0.0,0.7524752475247525,28.369318613861193
30,pct,0.1,1.0,3,0.5,tick,cfd_raw,v201,pivot,38,26,12,0.7368421052631579,1520.788859999986,612.0,908.788859999986,0.20364904481277474,1.9444998613943951,0.2989844086569083,239.0750899999839,0.3157894736842105,0.7368421052631579,0.2631578947368421,0.0,0.0,0.7105263157894737,23.915496315789106
30,pct,0.1,1.0,3,0.5,tick,cfd_raw,v201,pivot+don20,54,33,21,0.7222222222222222,2021.0968799999828,876.0,1145.0968799999828,0.20266621940669255,1.7733793915976388,0.26354312299156885,191.39902999998594,0.24074074074074073,0.7222222222222222,0.2777777777777778,0.0,0.0,0.7777777777777778,21.20549777777746
30,pct,0.1,1.0,3,0.5,tick,cfd_raw,latch,pivot,68,42,26,0.7794117647058824,3175.414549999972,1072.0,2103.414549999972,0.1984583235363821,2.4575549444485842,0.3895334476407451,200.6633800000127,0.3235294117647059,0.7794117647058824,0.22058823529411764,0.0,0.0,0.7058823529411765,30.932566911764297
30,pct,0.1,1.0,3,0.5,tick,cfd_raw,latch,pivot+don20,101,59,42,0.7722772277227723,4575.436539999966,1598.0,2977.436539999966,0.19731422202931312,2.31299931556328,0.3712933689689574,200.6633800000127,0.27722772277227725,0.7722772277227723,0.22772277227722773,0.0,0.0,0.7524752475247525,29.47956970296996
30,pct,0.1,1.0,3,1.0,off,none,v201,pivot,16,9,7,0.875,936.8170799999643,0.0,936.8170799999643,0.0,6.8818208775841985,0.7499999999999709,81.443299999999,0.125,0.875,0.125,0.0,0.0,0.875,58.55106749999777
30,pct,0.1,1.0,3,1.0,off,none,v201,pivot+don20,18,10,8,0.8888888888888888,1092.677549999964,0.0,1092.677549999964,0.0,7.860393307578875,0.7777777777777515,81.443299999999,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.8888888888888888,60.70430833333133
30,pct,0.1,1.0,3,1.0,off,none,latch,pivot,57,31,26,0.7894736842105263,2624.0110300000088,0.0,2624.0110300000088,0.0,3.763766813379523,0.5789473684210547,160.74947999999858,0.2982456140350877,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7368421052631579,46.03528122807033
30,pct,0.1,1.0,3,1.0,off,none,latch,pivot+don20,79,46,33,0.7848101265822784,3582.979950000008,0.0,3582.979950000008,0.0,3.656516874211036,0.5696202531645586,160.74947999999858,0.27848101265822783,0.7848101265822784,0.21518987341772153,0.0,0.0,0.759493670886076,45.35417658227858
30,pct,0.1,1.0,3,1.0,off,exchange,v201,pivot,16,9,7,0.0,940.8170799999498,1291.29381858,-350.47673858005027,1.0286180045735027,0.0,-0.2756309512992225,350.47673858005146,0.125,0.875,0.125,0.0,0.0,0.875,-21.90479616125314
30,pct,0.1,1.0,3,1.0,off,exchange,v201,pivot+don20,18,10,8,0.0,1096.6775499999494,1451.155650015,-354.4781000150506,1.0282927175518526,0.0,-0.24785768902646843,354.4781000150542,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.8888888888888888,-19.69322777861392
30,pct,0.1,1.0,3,1.0,off,exchange,latch,pivot,57,31,26,0.017543859649122806,2654.02102999996,4660.943347375001,-2006.92231737504,1.030979895122341,1.9036194074540894e-05,-0.4449982990808524,2006.922317375036,0.2982456140350877,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7368421052631579,-35.20916346272
30,pct,0.1,1.0,3,1.0,off,exchange,latch,pivot+don20,79,46,33,0.0379746835443038,3620.985949999944,6472.784697635,-2851.7987476350563,1.0302893542108351,4.1784635320208075e-05,-0.4549867812839647,2851.7987476350536,0.27848101265822783,0.7848101265822784,0.21518987341772153,0.0,0.0,0.759493670886076,-36.098718324494385
30,pct,0.1,1.0,3,1.0,off,cfd_std,v201,pivot,16,9,7,0.8125,791.142699999953,256.5,534.642699999953,0.20880978665827193,2.7843787547056777,0.441784386075714,194.79399000000558,0.125,0.8125,0.1875,0.0,0.0,0.875,33.415168749997065
30,pct,0.1,1.0,3,1.0,off,cfd_std,v201,pivot+don20,18,10,8,0.8333333333333334,947.0031699999527,283.5,663.5031699999527,0.2048038724070613,3.214452680692898,0.48455448186337574,194.79399000000558,0.1111111111111111,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8888888888888888,36.861287222219595
30,pct,0.1,1.0,3,1.0,off,cfd_std,latch,pivot,57,31,26,0.7368421052631579,2338.370979999978,972.0,1366.3709799999779,0.21908726577131335,1.9396622257926488,0.3014213786404834,276.69787000001816,0.3157894736842105,0.7368421052631579,0.2631578947368421,0.0,0.0,0.7368421052631579,23.971420701754
30,pct,0.1,1.0,3,1.0,off,cfd_std,latch,pivot+don20,79,46,33,0.7468354430379747,3351.31289999999,1336.5,2014.81289999999,0.2148301566605154,2.020189237511953,0.3201681744172018,430.1536500000075,0.2911392405063291,0.7468354430379747,0.25316455696202533,0.0,0.0,0.759493670886076,25.503960759493545
30,pct,0.1,1.0,3,1.0,off,cfd_raw,v201,pivot,16,9,7,0.8125,780.1536999999516,248.0,532.1536999999516,0.20010009846054833,2.800170154898228,0.43982576402151935,195.78299000000698,0.125,0.8125,0.1875,0.0,0.0,0.875,33.25960624999698
30,pct,0.1,1.0,3,1.0,off,cfd_raw,v201,pivot+don20,18,10,8,0.8333333333333334,936.0141699999513,276.0,660.0141699999513,0.19781540550112234,3.2326967014303305,0.48210037850723847,195.78299000000698,0.1111111111111111,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8888888888888888,36.66745388888618
30,pct,0.1,1.0,3,1.0,off,cfd_raw,latch,pivot,57,31,26,0.7543859649122807,2416.0063399999635,910.0,1506.0063399999635,0.2028729349067931,2.1215585296408395,0.3332066551276018,191.39902999998594,0.2982456140350877,0.7543859649122807,0.24561403508771928,0.0,0.0,0.7368421052631579,26.421163859648484
30,pct,0.1,1.0,3,1.0,off,cfd_raw,latch,pivot+don20,79,46,33,0.759493670886076,3406.959259999974,1258.0,2148.959259999974,0.2009850626207952,2.1653121080045246,0.34220250317549894,266.00179000000935,0.27848101265822783,0.759493670886076,0.24050632911392406,0.0,0.0,0.759493670886076,27.20201594936676
30,pct,0.1,1.0,3,1.0,bar,none,v201,pivot,16,9,7,0.875,936.8170799999643,0.0,936.8170799999643,0.0,6.8818208775841985,0.7499999999999709,81.443299999999,0.125,0.875,0.125,0.0,0.0,0.875,58.55106749999777
30,pct,0.1,1.0,3,1.0,bar,none,v201,pivot+don20,18,10,8,0.8888888888888888,1092.677549999964,0.0,1092.677549999964,0.0,7.860393307578875,0.7777777777777515,81.443299999999,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.8888888888888888,60.70430833333133
30,pct,0.1,1.0,3,1.0,bar,none,latch,pivot,57,31,26,0.7894736842105263,2624.0110300000088,0.0,2624.0110300000088,0.0,3.763766813379523,0.5789473684210547,160.74947999999858,0.2982456140350877,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7368421052631579,46.03528122807033
30,pct,0.1,1.0,3,1.0,bar,none,latch,pivot+don20,79,46,33,0.7848101265822784,3582.979950000008,0.0,3582.979950000008,0.0,3.656516874211036,0.5696202531645586,160.74947999999858,0.27848101265822783,0.7848101265822784,0.21518987341772153,0.0,0.0,0.759493670886076,45.35417658227858
30,pct,0.1,1.0,3,1.0,bar,exchange,v201,pivot,16,9,7,0.0,940.8170799999498,1291.29381858,-350.47673858005027,1.0286180045735027,0.0,-0.2756309512992225,350.47673858005146,0.125,0.875,0.125,0.0,0.0,0.875,-21.90479616125314
30,pct,0.1,1.0,3,1.0,bar,exchange,v201,pivot+don20,18,10,8,0.0,1096.6775499999494,1451.155650015,-354.4781000150506,1.0282927175518526,0.0,-0.24785768902646843,354.4781000150542,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.8888888888888888,-19.69322777861392
30,pct,0.1,1.0,3,1.0,bar,exchange,latch,pivot,57,31,26,0.017543859649122806,2654.02102999996,4660.943347375001,-2006.92231737504,1.030979895122341,1.9036194074540894e-05,-0.4449982990808524,2006.922317375036,0.2982456140350877,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7368421052631579,-35.20916346272
30,pct,0.1,1.0,3,1.0,bar,exchange,latch,pivot+don20,79,46,33,0.0379746835443038,3620.985949999944,6472.784697635,-2851.7987476350563,1.0302893542108351,4.1784635320208075e-05,-0.4549867812839647,2851.7987476350536,0.27848101265822783,0.7848101265822784,0.21518987341772153,0.0,0.0,0.759493670886076,-36.098718324494385
30,pct,0.1,1.0,3,1.0,bar,cfd_std,v201,pivot,16,9,7,0.8125,791.142699999953,256.5,534.642699999953,0.20880978665827193,2.7843787547056777,0.441784386075714,194.79399000000558,0.125,0.8125,0.1875,0.0,0.0,0.875,33.415168749997065
30,pct,0.1,1.0,3,1.0,bar,cfd_std,v201,pivot+don20,18,10,8,0.8333333333333334,947.0031699999527,283.5,663.5031699999527,0.2048038724070613,3.214452680692898,0.48455448186337574,194.79399000000558,0.1111111111111111,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8888888888888888,36.861287222219595
30,pct,0.1,1.0,3,1.0,bar,cfd_std,latch,pivot,57,31,26,0.7368421052631579,2338.370979999978,972.0,1366.3709799999779,0.21908726577131335,1.9396622257926488,0.3014213786404834,276.69787000001816,0.3157894736842105,0.7368421052631579,0.2631578947368421,0.0,0.0,0.7368421052631579,23.971420701754
30,pct,0.1,1.0,3,1.0,bar,cfd_std,latch,pivot+don20,79,46,33,0.7468354430379747,3351.31289999999,1336.5,2014.81289999999,0.2148301566605154,2.020189237511953,0.3201681744172018,430.1536500000075,0.2911392405063291,0.7468354430379747,0.25316455696202533,0.0,0.0,0.759493670886076,25.503960759493545
30,pct,0.1,1.0,3,1.0,bar,cfd_raw,v201,pivot,16,9,7,0.8125,780.1536999999516,248.0,532.1536999999516,0.20010009846054833,2.800170154898228,0.43982576402151935,195.78299000000698,0.125,0.8125,0.1875,0.0,0.0,0.875,33.25960624999698
30,pct,0.1,1.0,3,1.0,bar,cfd_raw,v201,pivot+don20,18,10,8,0.8333333333333334,936.0141699999513,276.0,660.0141699999513,0.19781540550112234,3.2326967014303305,0.48210037850723847,195.78299000000698,0.1111111111111111,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8888888888888888,36.66745388888618
30,pct,0.1,1.0,3,1.0,bar,cfd_raw,latch,pivot,57,31,26,0.7543859649122807,2416.0063399999635,910.0,1506.0063399999635,0.2028729349067931,2.1215585296408395,0.3332066551276018,191.39902999998594,0.2982456140350877,0.7543859649122807,0.24561403508771928,0.0,0.0,0.7368421052631579,26.421163859648484
30,pct,0.1,1.0,3,1.0,bar,cfd_raw,latch,pivot+don20,79,46,33,0.759493670886076,3406.959259999974,1258.0,2148.959259999974,0.2009850626207952,2.1653121080045246,0.34220250317549894,266.00179000000935,0.27848101265822783,0.759493670886076,0.24050632911392406,0.0,0.0,0.759493670886076,27.20201594936676
30,pct,0.1,1.0,3,1.0,tick,none,v201,pivot,16,9,7,0.875,936.8170799999643,0.0,936.8170799999643,0.0,6.8818208775841985,0.7499999999999709,81.443299999999,0.125,0.875,0.125,0.0,0.0,0.875,58.55106749999777
30,pct,0.1,1.0,3,1.0,tick,none,v201,pivot+don20,18,10,8,0.8888888888888888,1092.677549999964,0.0,1092.677549999964,0.0,7.860393307578875,0.7777777777777515,81.443299999999,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.8888888888888888,60.70430833333133
30,pct,0.1,1.0,3,1.0,tick,none,latch,pivot,57,31,26,0.7894736842105263,2624.0110300000088,0.0,2624.0110300000088,0.0,3.763766813379523,0.5789473684210547,160.74947999999858,0.2982456140350877,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7368421052631579,46.03528122807033
30,pct,0.1,1.0,3,1.0,tick,none,latch,pivot+don20,79,46,33,0.7848101265822784,3582.979950000008,0.0,3582.979950000008,0.0,3.656516874211036,0.5696202531645586,160.74947999999858,0.27848101265822783,0.7848101265822784,0.21518987341772153,0.0,0.0,0.759493670886076,45.35417658227858
30,pct,0.1,1.0,3,1.0,tick,exchange,v201,pivot,16,9,7,0.0,940.8170799999498,1291.29381858,-350.47673858005027,1.0286180045735027,0.0,-0.2756309512992225,350.47673858005146,0.125,0.875,0.125,0.0,0.0,0.875,-21.90479616125314
30,pct,0.1,1.0,3,1.0,tick,exchange,v201,pivot+don20,18,10,8,0.0,1096.6775499999494,1451.155650015,-354.4781000150506,1.0282927175518526,0.0,-0.24785768902646843,354.4781000150542,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.8888888888888888,-19.69322777861392
30,pct,0.1,1.0,3,1.0,tick,exchange,latch,pivot,57,31,26,0.017543859649122806,2654.02102999996,4660.943347375001,-2006.92231737504,1.030979895122341,1.9036194074540894e-05,-0.4449982990808524,2006.922317375036,0.2982456140350877,0.7894736842105263,0.21052631578947367,0.0,0.0,0.7368421052631579,-35.20916346272
30,pct,0.1,1.0,3,1.0,tick,exchange,latch,pivot+don20,79,46,33,0.0379746835443038,3620.985949999944,6472.784697635,-2851.7987476350563,1.0302893542108351,4.1784635320208075e-05,-0.4549867812839647,2851.7987476350536,0.27848101265822783,0.7848101265822784,0.21518987341772153,0.0,0.0,0.759493670886076,-36.098718324494385
