tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
15,pct,0.1,1.0,3,0.5,bar,none,latch,pivot,93,55,38,0.7526881720430108,3837.7587500000373,0.0,3837.7587500000373,0.0,3.082298437484101,0.5053763440860263,258.3713399999833,0.3333333333333333,0.7526881720430108,0.24731182795698925,0.0,0.0,0.7096774193548387,41.26622311827997
15,pct,0.1,1.0,3,0.5,bar,none,latch,pivot+don20,122,75,47,0.7540983606557377,5053.29402000003,0.0,5053.29402000003,0.0,3.084744233474255,0.5081967213114784,321.05799999997544,0.3442622950819672,0.7540983606557377,0.2459016393442623,0.0,0.0,0.7049180327868853,41.420442786885495
15,pct,0.1,1.0,3,0.5,bar,exchange,v201,pivot,61,38,23,0.04918032786885246,2073.3535699999775,5067.889076405,-2994.5355064050223,1.0289261523567925,3.987424205597252e-05,-0.6135754873560073,2994.5355064050236,0.4262295081967213,0.7049180327868853,0.29508196721311475,0.0,0.0,0.639344262295082,-49.09074600663971
15,pct,0.1,1.0,3,0.5,bar,exchange,v201,pivot+don20,71,45,26,0.04225352112676056,2538.4551699999865,5889.607382234999,-3351.1522122350134,1.0287594773706201,3.563113005131093e-05,-0.5873859970087487,3351.1522122350143,0.38028169014084506,0.7183098591549296,0.28169014084507044,0.0,0.0,0.676056338028169,-47.199326932887516
15,pct,0.1,1.0,3,0.5,bar,exchange,latch,pivot,93,55,38,0.043010752688172046,3741.022310000015,7758.224526925,-4017.202216924985,1.0286895461353787,3.92333501629984e-05,-0.5401495688985837,4017.202216924983,0.3333333333333333,0.7419354838709677,0.25806451612903225,0.0,0.0,0.7096774193548387,-43.19572276263425
15,pct,0.1,1.0,3,0.5,bar,exchange,latch,pivot+don20,122,75,47,0.05737704918032787,4974.55558,10207.943836580002,-5233.388256579999,1.0284885952893834,5.439495515562937e-05,-0.5319537596763597,5233.388256580001,0.3442622950819672,0.7459016393442623,0.2540983606557377,0.0,0.0,0.7049180327868853,-42.896625053934414
15,pct,0.1,1.0,3,0.5,bar,cfd_std,v201,pivot,61,38,23,0.6885245901639344,2156.3846499999636,1080.0,1076.3846499999636,0.21607270976327372,1.5565684307826044,0.2154306302668717,309.33273000002373,0.45901639344262296,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,17.645649999999403
15,pct,0.1,1.0,3,0.5,bar,cfd_std,v201,pivot+don20,71,45,26,0.704225352112676,2632.997749999966,1242.0,1390.997749999966,0.2137924082222906,1.6454182913296447,0.24352307608452295,260.9302299999981,0.4084507042253521,0.704225352112676,0.29577464788732394,0.0,0.0,0.676056338028169,19.59151760563332
15,pct,0.1,1.0,3,0.5,bar,cfd_std,latch,pivot,93,55,38,0.7204301075268817,3728.8221300000005,1606.5,2122.3221300000005,0.21140201178628962,1.8047568280807973,0.27439039822435407,335.1743200000201,0.3655913978494624,0.7204301075268817,0.27956989247311825,0.0,0.0,0.7096774193548387,22.820668064516134
15,pct,0.1,1.0,3,0.5,bar,cfd_std,latch,pivot+don20,122,75,47,0.7213114754098361,4909.300449999981,2106.0,2803.3004499999806,0.2107406261661383,1.8101993278465107,0.2774658689880698,406.6964399999997,0.36885245901639346,0.7213114754098361,0.2786885245901639,0.0,0.0,0.7049180327868853,22.977872540983448
15,pct,0.1,1.0,3,0.5,bar,cfd_raw,v201,pivot,61,38,23,0.6885245901639344,2040.8241499999567,1006.0,1034.8241499999567,0.2028311694819646,1.551176335341433,0.20700230656841348,323.8382300000085,0.47540983606557374,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,16.964330327868144
15,pct,0.1,1.0,3,0.5,bar,cfd_raw,v201,pivot+don20,71,45,26,0.704225352112676,2511.9317499999597,1162.0,1349.9317499999597,0.20154923263312807,1.64630097577852,0.2363006318727238,246.43022999999812,0.4225352112676056,0.704225352112676,0.29577464788732394,0.0,0.0,0.676056338028169,19.01312323943605
15,pct,0.1,1.0,3,0.5,bar,cfd_raw,latch,pivot,93,55,38,0.7204301075268817,3585.767129999993,1510.0,2075.767129999993,0.19957092436294754,1.8101399886540406,0.2681659851288035,350.68532000000414,0.3763440860215054,0.7204301075268817,0.27956989247311825,0.0,0.0,0.7096774193548387,22.32007666666659
15,pct,0.1,1.0,3,0.5,bar,cfd_raw,latch,pivot+don20,122,75,47,0.7213114754098361,4719.975139999995,1980.0,2739.975139999995,0.19896347345753504,1.814547550508295,0.2710626672355909,401.1909400000004,0.38524590163934425,0.7213114754098361,0.2786885245901639,0.0,0.0,0.7049180327868853,22.458812622950777
15,pct,0.1,1.0,3,0.5,tick,none,v201,pivot,61,38,23,0.7213114754098361,2180.0920100000076,0.0,2180.0920100000076,0.0,2.597539759236205,0.4426229508196738,172.24755999998888,0.4262295081967213,0.7213114754098361,0.2786885245901639,0.0,0.0,0.639344262295082,35.73921327868865
15,pct,0.1,1.0,3,0.5,tick,none,v201,pivot+don20,71,45,26,0.7323943661971831,2643.191610000009,0.0,2643.191610000009,0.0,2.7254589197067194,0.4647887323943679,172.24755999998888,0.38028169014084506,0.7323943661971831,0.2676056338028169,0.0,0.0,0.676056338028169,37.22805084507055
15,pct,0.1,1.0,3,0.5,tick,none,latch,pivot,93,55,38,0.7526881720430108,3837.7587500000373,0.0,3837.7587500000373,0.0,3.082298437484101,0.5053763440860263,258.3713399999833,0.3333333333333333,0.7526881720430108,0.24731182795698925,0.0,0.0,0.7096774193548387,41.26622311827997
15,pct,0.1,1.0,3,0.5,tick,none,latch,pivot+don20,122,75,47,0.7540983606557377,5053.29402000003,0.0,5053.29402000003,0.0,3.084744233474255,0.5081967213114784,321.05799999997544,0.3442622950819672,0.7540983606557377,0.2459016393442623,0.0,0.0,0.7049180327868853,41.420442786885495
15,pct,0.1,1.0,3,0.5,tick,exchange,v201,pivot,61,38,23,0.04918032786885246,2073.3535699999775,5067.889076405,-2994.5355064050223,1.0289261523567925,3.987424205597252e-05,-0.6135754873560073,2994.5355064050236,0.4262295081967213,0.7049180327868853,0.29508196721311475,0.0,0.0,0.639344262295082,-49.09074600663971
15,pct,0.1,1.0,3,0.5,tick,exchange,v201,pivot+don20,71,45,26,0.04225352112676056,2538.4551699999865,5889.607382234999,-3351.1522122350134,1.0287594773706201,3.563113005131093e-05,-0.5873859970087487,3351.1522122350143,0.38028169014084506,0.7183098591549296,0.28169014084507044,0.0,0.0,0.676056338028169,-47.199326932887516
15,pct,0.1,1.0,3,0.5,tick,exchange,latch,pivot,93,55,38,0.043010752688172046,3741.022310000015,7758.224526925,-4017.202216924985,1.0286895461353787,3.92333501629984e-05,-0.5401495688985837,4017.202216924983,0.3333333333333333,0.7419354838709677,0.25806451612903225,0.0,0.0,0.7096774193548387,-43.19572276263425
15,pct,0.1,1.0,3,0.5,tick,exchange,latch,pivot+don20,122,75,47,0.05737704918032787,4974.55558,10207.943836580002,-5233.388256579999,1.0284885952893834,5.439495515562937e-05,-0.5319537596763597,5233.388256580001,0.3442622950819672,0.7459016393442623,0.2540983606557377,0.0,0.0,0.7049180327868853,-42.896625053934414
15,pct,0.1,1.0,3,0.5,tick,cfd_std,v201,pivot,61,38,23,0.6885245901639344,2156.3846499999636,1080.0,1076.3846499999636,0.21607270976327372,1.5565684307826044,0.2154306302668717,309.33273000002373,0.45901639344262296,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,17.645649999999403
