tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
spx180,pct,0.1,1.0,3,0.5,bar,spx_none,latch,pivot,286,152,134,0.6363636363636364,524.1650999999929,0.0,524.1650999999929,0.0,1.4410347434662696,0.3348962832358542,138.33868999998958,0.28321678321678323,0.6748251748251748,0.32517482517482516,0.0,0.0,0.7342657342657343,1.83274510489508
spx180,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don10,360,189,171,0.6416666666666667,299.4188099999956,0.0,299.4188099999956,0.0,1.20323495374903,0.15477919294190892,181.4128700000001,0.20833333333333334,0.6916666666666667,0.30833333333333335,0.0,0.0,0.7972222222222223,0.8317189166666543
spx180,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don20,288,167,121,0.6666666666666666,524.6434399999903,0.0,524.6434399999903,0.0,1.5136702818841052,0.29880056824726886,167.13450000001467,0.21875,0.6979166666666666,0.3020833333333333,0.0,0.0,0.7881944444444444,1.8216786111110774
spx180,pct,0.1,1.0,3,0.5,bar,spx_none,hold,pivot,306,168,138,0.6437908496732027,562.8901299999925,0.0,562.8901299999925,0.0,1.4570220023213212,0.3359138008267793,138.33869000000414,0.2679738562091503,0.6830065359477124,0.31699346405228757,0.0,0.0,0.7483660130718954,1.8395102287581455
spx180,pct,0.1,1.0,3,0.5,bar,spx_none,hold,don10,414,219,195,0.6473429951690821,554.2375299999931,0.0,554.2375299999931,0.0,1.3398683677518892,0.2502473428483171,167.53347999999824,0.21014492753623187,0.6932367149758454,0.30676328502415456,0.0,0.0,0.7946859903381642,1.3387379951690654
spx180,pct,0.1,1.0,3,0.5,bar,spx_none,hold,don20,325,187,138,0.6615384615384615,591.2222599999895,0.0,591.2222599999895,0.0,1.5207214771853987,0.3080917105789328,156.06422999998904,0.21846153846153846,0.6892307692307692,0.31076923076923074,0.0,0.0,0.7876923076923077,1.8191454153845832
spx180,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,pivot,286,152,134,0.6328671328671329,535.8947300000082,132.65000000013288,403.2447299998753,0.045753821352134294,1.3224113286098498,0.25899961795022136,148.83799000001454,0.28321678321678323,0.6748251748251748,0.32517482517482516,0.0,0.0,0.7342657342657343,1.4099466083911723
spx180,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,don10,360,189,171,0.6305555555555555,302.92421000001286,165.2000000001649,137.72420999984797,0.0509873771952015,1.0886472593288838,0.07378806282481756,210.21570000002976,0.20833333333333334,0.6888888888888889,0.3111111111111111,0.0,0.0,0.7972222222222223,0.3825672499995777
spx180,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,don20,288,167,121,0.65625,537.2201700000064,131.25000000013233,405.9701699998741,0.05120578345004051,1.3768028591969892,0.22445251686912224,176.52783000000636,0.21875,0.6979166666666666,0.3020833333333333,0.0,0.0,0.7881944444444444,1.409618645832896
spx180,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,pivot,306,168,138,0.6405228758169934,574.6197600000078,141.0500000001416,433.56975999986616,0.04663961275945979,1.3342805610583115,0.25972517322783306,149.88799000001745,0.2679738562091503,0.6830065359477124,0.31699346405228757,0.0,0.0,0.7483660130718954,1.4168946405224385
spx180,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,don10,414,219,195,0.6376811594202898,558.792580000013,189.7000000001899,369.0925799998231,0.04979733560686486,1.2143459488070167,0.16890677068845586,181.54978000001574,0.21014492753623187,0.6908212560386473,0.30917874396135264,0.0,0.0,0.7946859903381642,0.8915279710140654
spx180,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,don20,325,187,138,0.6523076923076923,604.4989900000073,149.10000000014998,455.39898999985735,0.052185372003476956,1.3793298286587619,0.23199830026547708,166.15756000002148,0.21846153846153846,0.6892307692307692,0.31076923076923074,0.0,0.0,0.7876923076923077,1.4012276615380226
spx180,pct,0.1,1.0,3,0.5,tick,spx_none,latch,pivot,286,152,134,0.6363636363636364,524.1650999999929,0.0,524.1650999999929,0.0,1.4410347434662696,0.3348962832358542,138.33868999998958,0.28321678321678323,0.6748251748251748,0.32517482517482516,0.0,0.0,0.7342657342657343,1.83274510489508
spx180,pct,0.1,1.0,3,0.5,tick,spx_none,latch,don10,360,189,171,0.6416666666666667,299.4188099999956,0.0,299.4188099999956,0.0,1.20323495374903,0.15477919294190892,181.4128700000001,0.20833333333333334,0.6916666666666667,0.30833333333333335,0.0,0.0,0.7972222222222223,0.8317189166666543
spx180,pct,0.1,1.0,3,0.5,tick,spx_none,latch,don20,288,167,121,0.6666666666666666,524.6434399999903,0.0,524.6434399999903,0.0,1.5136702818841052,0.29880056824726886,167.13450000001467,0.21875,0.6979166666666666,0.3020833333333333,0.0,0.0,0.7881944444444444,1.8216786111110774
spx180,pct,0.1,1.0,3,0.5,tick,spx_none,hold,pivot,306,168,138,0.6437908496732027,562.8901299999925,0.0,562.8901299999925,0.0,1.4570220023213212,0.3359138008267793,138.33869000000414,0.2679738562091503,0.6830065359477124,0.31699346405228757,0.0,0.0,0.7483660130718954,1.8395102287581455
spx180,pct,0.1,1.0,3,0.5,tick,spx_none,hold,don10,414,219,195,0.6473429951690821,554.2375299999931,0.0,554.2375299999931,0.0,1.3398683677518892,0.2502473428483171,167.53347999999824,0.21014492753623187,0.6932367149758454,0.30676328502415456,0.0,0.0,0.7946859903381642,1.3387379951690654
spx180,pct,0.1,1.0,3,0.5,tick,spx_none,hold,don20,325,187,138,0.6615384615384615,591.2222599999895,0.0,591.2222599999895,0.0,1.5207214771853987,0.3080917105789328,156.06422999998904,0.21846153846153846,0.6892307692307692,0.31076923076923074,0.0,0.0,0.7876923076923077,1.8191454153845832
spx180,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,pivot,286,152,134,0.6328671328671329,535.8947300000082,132.65000000013288,403.2447299998753,0.045753821352134294,1.3224113286098498,0.25899961795022136,148.83799000001454,0.28321678321678323,0.6748251748251748,0.32517482517482516,0.0,0.0,0.7342657342657343,1.4099466083911723
spx180,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,don10,360,189,171,0.6305555555555555,302.92421000001286,165.2000000001649,137.72420999984797,0.0509873771952015,1.0886472593288838,0.07378806282481756,210.21570000002976,0.20833333333333334,0.6888888888888889,0.3111111111111111,0.0,0.0,0.7972222222222223,0.3825672499995777
spx180,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,don20,288,167,121,0.65625,537.2201700000064,131.25000000013233,405.9701699998741,0.05120578345004051,1.3768028591969892,0.22445251686912224,176.52783000000636,0.21875,0.6979166666666666,0.3020833333333333,0.0,0.0,0.7881944444444444,1.409618645832896
spx180,pct,0.1,1.0,3,0.5,tick,spx_cfd,hold,pivot,306,168,138,0.6405228758169934,574.6197600000078,141.0500000001416,433.56975999986616,0.04663961275945979,1.3342805610583115,0.25972517322783306,149.88799000001745,0.2679738562091503,0.6830065359477124,0.31699346405228757,0.0,0.0,0.7483660130718954,1.4168946405224385
spx180,pct,0.1,1.0,3,0.5,tick,spx_cfd,hold,don10,414,219,195,0.6376811594202898,558.792580000013,189.7000000001899,369.0925799998231,0.04979733560686486,1.2143459488070167,0.16890677068845586,181.54978000001574,0.21014492753623187,0.6908212560386473,0.30917874396135264,0.0,0.0,0.7946859903381642,0.8915279710140654
spx180,pct,0.1,1.0,3,0.5,tick,spx_cfd,hold,don20,325,187,138,0.6523076923076923,604.4989900000073,149.10000000014998,455.39898999985735,0.052185372003476956,1.3793298286587619,0.23199830026547708,166.15756000002148,0.21846153846153846,0.6892307692307692,0.31076923076923074,0.0,0.0,0.7876923076923077,1.4012276615380226
spx180,pct,0.1,1.0,3,1.0,off,spx_none,latch,pivot,224,109,115,0.6160714285714286,315.575259999996,0.0,315.575259999996,0.0,1.3340130509637655,0.28378403774423594,146.02732999999716,0.29017857142857145,0.6651785714285714,0.33482142857142855,0.0,0.0,0.7321428571428571,1.408818124999982
spx180,pct,0.1,1.0,3,1.0,off,spx_none,latch,don10,234,110,124,0.6282051282051282,79.98969999999508,0.0,79.98969999999508,0.0,1.0859866219836924,0.08785363177261736,107.64164000000164,0.20085470085470086,0.6794871794871795,0.32051282051282054,0.0,0.0,0.8076923076923077,0.34183632478630377
