tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
spx1D,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,don10,496,289,207,0.780241935483871,1668.922070000005,205.80000000006612,1463.122069999939,0.058023769451271454,2.452362201062464,0.7335014089156672,91.09447000001092,0.10887096774193548,0.8145161290322581,0.18548387096774194,0.0,0.0,0.8911290322580645,2.949842883064393
spx1D,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,don20,387,262,125,0.7777777777777778,1342.112080000001,162.05000000005657,1180.0620799999444,0.054215088106211534,2.342429841964969,0.7234898739901514,97.00673999999708,0.13178294573643412,0.8036175710594315,0.19638242894056848,0.0,0.0,0.8682170542635659,3.049256020671691
spx1D,pct,0.1,1.0,3,0.5,bar,spx_none,latch,pivot,343,199,144,0.8017492711370262,1182.4500700000067,0.0,1182.4500700000067,0.0,3.2008687740284336,0.8008626477684561,72.58491000000504,0.10787172011661808,0.8192419825072886,0.18075801749271136,0.0,0.0,0.892128279883382,3.447376297376113
spx1D,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don10,431,253,178,0.7981438515081206,1533.3460700000035,0.0,1533.3460700000035,0.0,3.1885916241562513,0.8451666351746244,85.49412000000302,0.10672853828306264,0.8167053364269141,0.18329466357308585,0.0,0.0,0.8932714617169374,3.557647494199544
spx1D,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don20,348,236,112,0.7959770114942529,1314.65288,0.0,1314.65288,0.0,2.9955668200344663,0.8729046758707208,91.75639000000956,0.13505747126436782,0.8103448275862069,0.1896551724137931,0.0,0.0,0.8649425287356322,3.7777381609195406
spx1D,pct,0.1,1.0,3,0.5,bar,spx_none,hold,pivot,355,203,152,0.8,1201.0661500000056,0.0,1201.0661500000056,0.0,3.1284855930727904,0.7819995437484589,72.58491000000504,0.10422535211267606,0.8169014084507042,0.18309859154929578,0.0,0.0,0.895774647887324,3.3832849295774805
spx1D,pct,0.1,1.0,3,0.5,bar,spx_none,hold,don10,496,289,207,0.7963709677419355,1664.9071000000044,0.0,1664.9071000000044,0.0,2.7692052526713833,0.8476985153655324,85.49411999998847,0.10887096774193548,0.8145161290322581,0.18548387096774194,0.0,0.0,0.8911290322580645,3.3566675403225896
spx1D,pct,0.1,1.0,3,0.5,bar,spx_none,hold,don20,387,262,125,0.7906976744186046,1337.7467600000007,0.0,1337.7467600000007,0.0,2.620426972003532,0.8352944859393656,91.75638999999501,0.13178294573643412,0.8036175710594315,0.19638242894056848,0.0,0.0,0.8682170542635659,3.4567099741602085
spx1D,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,pivot,343,199,144,0.7959183673469388,1186.465740000007,141.75000000004184,1044.715739999965,0.06279071102528609,2.797788974865038,0.6867240368570956,78.88491000000795,0.10787172011661808,0.8192419825072886,0.18075801749271136,0.0,0.0,0.892128279883382,3.0458184839649127
spx1D,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,don10,431,253,178,0.7842227378190255,1537.361040000004,178.50000000005866,1358.8610399999454,0.06083051752220798,2.794375756225365,0.7320399506778404,91.09446999999636,0.10672853828306264,0.8167053364269141,0.18329466357308585,0.0,0.0,0.8932714617169374,3.1528098375868803
spx1D,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,don20,348,236,112,0.7816091954022989,1319.0182000000004,144.9000000000501,1174.1181999999503,0.055044913838583946,2.664745194925107,0.7618728295968218,97.00674000001163,0.13505747126436782,0.8103448275862069,0.1896551724137931,0.0,0.0,0.8649425287356322,3.373902873563076
spx1D,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,pivot,355,203,152,0.7943661971830986,1205.0818200000058,147.00000000004502,1058.0818199999608,0.06308608474782287,2.7339113661587175,0.6685025671268252,78.88491000000795,0.10422535211267606,0.8169014084507042,0.18309859154929578,0.0,0.0,0.895774647887324,2.980512169013974
spx1D,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,don10,496,289,207,0.780241935483871,1668.922070000005,205.80000000006612,1463.122069999939,0.058023769451271454,2.452362201062464,0.7335014089156672,91.09447000001092,0.10887096774193548,0.8145161290322581,0.18548387096774194,0.0,0.0,0.8911290322580645,2.949842883064393
spx1D,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,don20,387,262,125,0.7777777777777778,1342.112080000001,162.05000000005657,1180.0620799999444,0.054215088106211534,2.342429841964969,0.7234898739901514,97.00673999999708,0.13178294573643412,0.8036175710594315,0.19638242894056848,0.0,0.0,0.8682170542635659,3.049256020671691
spx1D,pct,0.1,1.0,3,0.5,tick,spx_none,latch,pivot,343,199,144,0.8017492711370262,1182.4500700000067,0.0,1182.4500700000067,0.0,3.2008687740284336,0.8008626477684561,72.58491000000504,0.10787172011661808,0.8192419825072886,0.18075801749271136,0.0,0.0,0.892128279883382,3.447376297376113
spx1D,pct,0.1,1.0,3,0.5,tick,spx_none,latch,don10,431,253,178,0.7981438515081206,1533.3460700000035,0.0,1533.3460700000035,0.0,3.1885916241562513,0.8451666351746244,85.49412000000302,0.10672853828306264,0.8167053364269141,0.18329466357308585,0.0,0.0,0.8932714617169374,3.557647494199544
spx1D,pct,0.1,1.0,3,0.5,tick,spx_none,latch,don20,348,236,112,0.7959770114942529,1314.65288,0.0,1314.65288,0.0,2.9955668200344663,0.8729046758707208,91.75639000000956,0.13505747126436782,0.8103448275862069,0.1896551724137931,0.0,0.0,0.8649425287356322,3.7777381609195406
spx1D,pct,0.1,1.0,3,0.5,tick,spx_none,hold,pivot,355,203,152,0.8,1201.0661500000056,0.0,1201.0661500000056,0.0,3.1284855930727904,0.7819995437484589,72.58491000000504,0.10422535211267606,0.8169014084507042,0.18309859154929578,0.0,0.0,0.895774647887324,3.3832849295774805
spx1D,pct,0.1,1.0,3,0.5,tick,spx_none,hold,don10,496,289,207,0.7963709677419355,1664.9071000000044,0.0,1664.9071000000044,0.0,2.7692052526713833,0.8476985153655324,85.49411999998847,0.10887096774193548,0.8145161290322581,0.18548387096774194,0.0,0.0,0.8911290322580645,3.3566675403225896
spx1D,pct,0.1,1.0,3,0.5,tick,spx_none,hold,don20,387,262,125,0.7906976744186046,1337.7467600000007,0.0,1337.7467600000007,0.0,2.620426972003532,0.8352944859393656,91.75638999999501,0.13178294573643412,0.8036175710594315,0.19638242894056848,0.0,0.0,0.8682170542635659,3.4567099741602085
spx1D,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,pivot,343,199,144,0.7959183673469388,1186.465740000007,141.75000000004184,1044.715739999965,0.06279071102528609,2.797788974865038,0.6867240368570956,78.88491000000795,0.10787172011661808,0.8192419825072886,0.18075801749271136,0.0,0.0,0.892128279883382,3.0458184839649127
spx1D,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,don10,431,253,178,0.7842227378190255,1537.361040000004,178.50000000005866,1358.8610399999454,0.06083051752220798,2.794375756225365,0.7320399506778404,91.09446999999636,0.10672853828306264,0.8167053364269141,0.18329466357308585,0.0,0.0,0.8932714617169374,3.1528098375868803
