time,open,high,low,close,Volume
1871-02-01,4.5,4.5,4.5,4.5,0
1871-03-01,4.61,4.61,4.61,4.61,0
1871-05-01,4.86,4.86,4.86,4.86,0
1871-06-01,4.82,4.82,4.82,4.82,0
1871-08-01,4.79,4.79,4.79,4.79,0
1871-09-01,4.84,4.84,4.84,4.84,0
1871-11-01,4.64,4.64,4.64,4.64,0
1871-12-01,4.74,4.74,4.74,4.74,0
1872-01-01,4.86,4.86,4.86,4.86,0
1872-02-01,4.88,4.88,4.88,4.88,0
1872-03-01,5.04,5.04,5.04,5.04,0
1872-04-01,5.18,5.18,5.18,5.18,0
1872-05-01,5.18,5.18,5.18,5.18,0
1872-07-01,5.1,5.1,5.1,5.1,0
1872-08-01,5.04,5.04,5.04,5.04,0
1872-10-01,4.97,4.97,4.97,4.97,0
1872-11-01,4.95,4.95,4.95,4.95,0
1873-01-01,5.11,5.11,5.11,5.11,0
1873-04-01,5.04,5.04,5.04,5.04,0
1873-05-01,5.05,5.05,5.05,5.05,0
1873-07-01,4.97,4.97,4.97,4.97,0
1873-08-01,4.97,4.97,4.97,4.97,0
1873-09-01,4.59,4.59,4.59,4.59,0
1873-10-01,4.19,4.19,4.19,4.19,0
1873-12-01,4.42,4.42,4.42,4.42,0
1874-01-01,4.66,4.66,4.66,4.66,0
1874-04-01,4.6,4.6,4.6,4.6,0
1874-05-01,4.48,4.48,4.48,4.48,0
1874-06-01,4.46,4.46,4.46,4.46,0
1874-07-01,4.46,4.46,4.46,4.46,0
1874-09-01,4.54,4.54,4.54,4.54,0
1874-10-01,4.53,4.53,4.53,4.53,0
1874-12-01,4.54,4.54,4.54,4.54,0
1875-01-01,4.54,4.54,4.54,4.54,0
1875-02-01,4.53,4.53,4.53,4.53,0
1875-03-01,4.59,4.59,4.59,4.59,0
1875-04-01,4.65,4.65,4.65,4.65,0
1875-06-01,4.38,4.38,4.38,4.38,0
1875-07-01,4.39,4.39,4.39,4.39,0
1875-09-01,4.37,4.37,4.37,4.37,0
1875-10-01,4.3,4.3,4.3,4.3,0
1875-11-01,4.37,4.37,4.37,4.37,0
1875-12-01,4.37,4.37,4.37,4.37,0
1876-02-01,4.52,4.52,4.52,4.52,0
1876-03-01,4.51,4.51,4.51,4.51,0
1876-05-01,4.18,4.18,4.18,4.18,0
1876-06-01,4.15,4.15,4.15,4.15,0
1876-08-01,3.93,3.93,3.93,3.93,0
1876-09-01,3.69,3.69,3.69,3.69,0
1876-11-01,3.6,3.6,3.6,3.6,0
1876-12-01,3.58,3.58,3.58,3.58,0
1877-01-01,3.55,3.55,3.55,3.55,0
1877-02-01,3.34,3.34,3.34,3.34,0
1877-03-01,3.17,3.17,3.17,3.17,0
1877-05-01,2.94,2.94,2.94,2.94,0
1877-06-01,2.73,2.73,2.73,2.73,0
1877-08-01,3.05,3.05,3.05,3.05,0
1877-10-01,3.31,3.31,3.31,3.31,0
1877-11-01,3.26,3.26,3.26,3.26,0
1878-01-01,3.25,3.25,3.25,3.25,0
1878-02-01,3.18,3.18,3.18,3.18,0
1878-03-01,3.24,3.24,3.24,3.24,0
1878-04-01,3.33,3.33,3.33,3.33,0
1878-05-01,3.34,3.34,3.34,3.34,0
1878-07-01,3.48,3.48,3.48,3.48,0
1878-08-01,3.45,3.45,3.45,3.45,0
1878-10-01,3.48,3.48,3.48,3.48,0
1878-11-01,3.47,3.47,3.47,3.47,0
1879-01-01,3.58,3.58,3.58,3.58,0
1879-04-01,3.77,3.77,3.77,3.77,0
1879-05-01,3.94,3.94,3.94,3.94,0
1879-07-01,4.04,4.04,4.04,4.04,0
1879-08-01,4.07,4.07,4.07,4.07,0
1879-09-01,4.22,4.22,4.22,4.22,0
1879-10-01,4.68,4.68,4.68,4.68,0
1879-12-01,4.92,4.92,4.92,4.92,0
1880-01-01,5.11,5.11,5.11,5.11,0
1880-03-01,5.3,5.3,5.3,5.3,0
1880-04-01,5.18,5.18,5.18,5.18,0
1880-06-01,4.79,4.79,4.79,4.79,0
1880-07-01,5.01,5.01,5.01,5.01,0
1880-09-01,5.18,5.18,5.18,5.18,0
1880-10-01,5.33,5.33,5.33,5.33,0
1880-11-01,5.61,5.61,5.61,5.61,0
1880-12-01,5.84,5.84,5.84,5.84,0
1881-02-01,6.17,6.17,6.17,6.17,0
1881-03-01,6.24,6.24,6.24,6.24,0
1881-04-01,6.22,6.22,6.22,6.22,0
1881-06-01,6.58,6.58,6.58,6.58,0
1881-07-01,6.35,6.35,6.35,6.35,0
1881-08-01,6.2,6.2,6.2,6.2,0
1881-09-01,6.25,6.25,6.25,6.25,0
1881-11-01,6.19,6.19,6.19,6.19,0
1881-12-01,6.01,6.01,6.01,6.01,0
1882-02-01,5.79,5.79,5.79,5.79,0
1882-03-01,5.78,5.78,5.78,5.78,0
1882-05-01,5.71,5.71,5.71,5.71,0
1882-06-01,5.68,5.68,5.68,5.68,0
1882-08-01,6.18,6.18,6.18,6.18,0
1882-09-01,6.24,6.24,6.24,6.24,0
1882-11-01,5.81,5.81,5.81,5.81,0
1882-12-01,5.84,5.84,5.84,5.84,0
1883-01-01,5.81,5.81,5.81,5.81,0
1883-02-01,5.68,5.68,5.68,5.68,0
1883-03-01,5.75,5.75,5.75,5.75,0
1883-05-01,5.77,5.77,5.77,5.77,0
1883-06-01,5.82,5.82,5.82,5.82,0
1883-08-01,5.47,5.47,5.47,5.47,0
1883-10-01,5.38,5.38,5.38,5.38,0
1883-11-01,5.46,5.46,5.46,5.46,0
1884-01-01,5.18,5.18,5.18,5.18,0
1884-02-01,5.32,5.32,5.32,5.32,0
1884-04-01,5.06,5.06,5.06,5.06,0
1884-05-01,4.65,4.65,4.65,4.65,0
1884-07-01,4.46,4.46,4.46,4.46,0
1884-08-01,4.74,4.74,4.74,4.74,0
1884-09-01,4.59,4.59,4.59,4.59,0
1884-10-01,4.44,4.44,4.44,4.44,0
1884-12-01,4.34,4.34,4.34,4.34,0
1885-01-01,4.24,4.24,4.24,4.24,0
1885-04-01,4.37,4.37,4.37,4.37,0
1885-05-01,4.32,4.32,4.32,4.32,0
1885-06-01,4.3,4.3,4.3,4.3,0
1885-07-01,4.46,4.46,4.46,4.46,0
1885-09-01,4.65,4.65,4.65,4.65,0
1885-10-01,4.92,4.92,4.92,4.92,0
1885-12-01,5.2,5.2,5.2,5.2,0
1886-01-01,5.2,5.2,5.2,5.2,0
1886-02-01,5.3,5.3,5.3,5.3,0
1886-03-01,5.19,5.19,5.19,5.19,0
1886-04-01,5.12,5.12,5.12,5.12,0
1886-06-01,5.25,5.25,5.25,5.25,0
1886-07-01,5.33,5.33,5.33,5.33,0
1886-09-01,5.51,5.51,5.51,5.51,0
1886-10-01,5.65,5.65,5.65,5.65,0
1886-11-01,5.79,5.79,5.79,5.79,0
1886-12-01,5.64,5.64,5.64,5.64,0
1887-02-01,5.54,5.54,5.54,5.54,0
1887-03-01,5.67,5.67,5.67,5.67,0
1887-04-01,5.8,5.8,5.8,5.8,0
1887-06-01,5.73,5.73,5.73,5.73,0
1887-07-01,5.59,5.59,5.59,5.59,0
1887-08-01,5.45,5.45,5.45,5.45,0
1887-09-01,5.38,5.38,5.38,5.38,0
1887-11-01,5.3,5.3,5.3,5.3,0
1887-12-01,5.27,5.27,5.27,5.27,0
1888-02-01,5.28,5.28,5.28,5.28,0
1888-03-01,5.08,5.08,5.08,5.08,0
1888-05-01,5.17,5.17,5.17,5.17,0
1888-06-01,5.01,5.01,5.01,5.01,0
1888-08-01,5.25,5.25,5.25,5.25,0
1888-10-01,5.35,5.35,5.35,5.35,0
1888-11-01,5.24,5.24,5.24,5.24,0
1889-01-01,5.24,5.24,5.24,5.24,0
1889-02-01,5.3,5.3,5.3,5.3,0
1889-03-01,5.19,5.19,5.19,5.19,0
1889-04-01,5.18,5.18,5.18,5.18,0
1889-05-01,5.32,5.32,5.32,5.32,0
1889-07-01,5.3,5.3,5.3,5.3,0
1889-08-01,5.37,5.37,5.37,5.37,0
1889-10-01,5.4,5.4,5.4,5.4,0
1889-11-01,5.35,5.35,5.35,5.35,0
1890-01-01,5.38,5.38,5.38,5.38,0
1890-04-01,5.39,5.39,5.39,5.39,0
1890-05-01,5.62,5.62,5.62,5.62,0
1890-07-01,5.54,5.54,5.54,5.54,0
1890-08-01,5.41,5.41,5.41,5.41,0
1890-09-01,5.32,5.32,5.32,5.32,0
1890-10-01,5.08,5.08,5.08,5.08,0
1890-12-01,4.6,4.6,4.6,4.6,0
1891-01-01,4.84,4.84,4.84,4.84,0
1891-04-01,4.97,4.97,4.97,4.97,0
1891-05-01,4.95,4.95,4.95,4.95,0
1891-06-01,4.85,4.85,4.85,4.85,0
1891-07-01,4.77,4.77,4.77,4.77,0
1891-09-01,5.33,5.33,5.33,5.33,0
1891-10-01,5.33,5.33,5.33,5.33,0
1891-12-01,5.41,5.41,5.41,5.41,0
1892-01-01,5.51,5.51,5.51,5.51,0
1892-02-01,5.52,5.52,5.52,5.52,0
1892-03-01,5.58,5.58,5.58,5.58,0
